agent,seed,sticky_target,max_carry,urgent_threshold,score_mean,score_std,steps_mean,steps_std,deliveries_mean
smart,16,True,1.0,10.0,38.6,8.87693640846886,188.2,6.05805249234438,6.0
smart,16,True,1.0,15.0,-3.4,38.875442119672414,196.4,11.036303729057115,6.0
smart,16,True,2.0,7.0,-56.4,79.07464827617004,204.4,12.177848742696717,6.0
smart,16,True,2.0,10.0,-81.6,86.5291858276732,201.6,17.6578594399208,6.0
smart,16,True,2.0,15.0,-57.0,87.99147685997775,208.4,17.052858997833766,6.0
smart,16,True,3.0,7.0,-78.2,47.177325061940515,201.6,9.126883367283707,6.0
smart,16,True,3.0,10.0,-22.2,33.89985250705377,191.6,11.674759098157015,6.0
smart,16,True,3.0,15.0,-66.4,92.21876164859296,203.0,22.999999999999996,6.0
smart,30,False,1.0,7.0,-97.6,64.35293311108671,223.8,8.197560612767674,6.0
smart,30,False,1.0,10.0,-34.4,75.58637443349166,199.0,15.0996688705415,6.0
smart,30,False,1.0,15.0,-74.2,80.47173416796733,212.4,19.152023391798583,6.0
smart,30,False,2.0,7.0,-196.4,162.4339865914766,226.2,20.813457185196313,6.0
smart,30,False,2.0,10.0,-112.2,86.1202647464579,216.2,26.74322344071485,6.0
smart,30,False,2.0,15.0,-171.2,153.1231530500858,217.4,35.70434147271169,6.0
smart,30,False,3.0,7.0,-76.6,96.37063868212142,201.0,28.705400188814647,6.0
smart,30,False,3.0,10.0,-190.4,50.67346445626153,227.4,8.17312669668102,6.0
smart,30,False,3.0,15.0,-78.8,147.4676235653101,200.6,34.53693674893591,6.0
smart,30,True,1.0,7.0,-125.2,90.69013176746408,223.0,26.68332812825267,6.0
smart,30,True,1.0,10.0,-158.8,59.120216508399224,228.2,8.786353054595514,6.0
smart,30,True,1.0,15.0,-146.8,123.37422745452147,233.4,34.041151566890335,6.0
smart,30,True,2.0,7.0,-156.6,95.0121044920067,238.6,23.34095113743225,6.0
smart,30,True,2.0,10.0,-211.8,68.69279438194373,246.8,17.66918221084383,6.0
smart,30,True,2.0,15.0,-133.4,97.93007709585447,225.0,26.795522013948524,6.0
smart,30,True,3.0,7.0,-102.2,60.524375254933446,201.4,19.667231630303235,6.0
smart,30,True,3.0,10.0,-151.4,63.63411034971731,221.8,22.163032283512113,6.0
smart,30,True,3.0,15.0,-170.2,74.07226201487302,226.6,24.223955085823622,6.0
smart,150,False,1.0,7.0,81.0,17.677669529663685,170.4,12.85690475970014,6.0
smart,150,False,1.0,10.0,25.2,53.30759795751447,192.8,17.398275776639476,6.0
smart,150,False,1.0,15.0,3.6,58.28636204121853,198.6,15.582040944625966,6.0
smart,150,False,2.0,7.0,-2.8,18.005554698481244,205.0,12.349089035228468,6.0
smart,150,False,2.0,10.0,49.6,72.16162415023653,173.2,17.541379649275022,6.0
smart,150,False,2.0,15.0,75.4,60.96966458821961,161.6,20.231164079212054,6.0
smart,150,False,3.0,7.0,37.8,59.80551814005126,161.8,16.976454282328806,6.0
smart,150,False,3.0,10.0,33.6,73.2959753328926,170.0,17.564168070250297,6.0
smart,150,False,3.0,15.0,25.6,56.914848677651776,174.0,20.18662923818635,6.0
smart,150,True,1.0,7.0,10.4,60.65311203887233,186.0,13.509256086106296,6.0
smart,150,True,1.0,10.0,44.0,36.15936946352909,189.8,11.366617790706258,6.0
smart,150,True,1.0,15.0,70.4,25.676837811537464,178.2,14.042791745233567,6.0
smart,150,True,2.0,7.0,11.2,85.58154006560059,183.6,18.75633226406485,6.0
smart,150,True,2.0,10.0,54.8,32.3681942653587,166.2,13.386560424545213,6.0
smart,150,True,2.0,15.0,68.6,61.68711372726074,169.2,22.774986278810356,6.0
smart,150,True,3.0,7.0,2.8,57.96291918114546,179.0,23.043437243605823,6.0
smart,150,True,3.0,10.0,79.2,32.797865784224435,156.0,11.1579568022107,6.0
smart,150,True,3.0,15.0,100.8,64.71244084409118,145.2,17.796066981218072,6.0
